start,end,text
164740,166120,"Прошу простить меня, старейшина."
167380,168020,«Глава».
168020,170340,"Объясню, почему я раздражен вашей радостью."
170800,173740,Потому что иногда лучше ожидать худшего и в
173740,176840,"итоге радоваться даже малости хорошего, чем возлагать столь"
176840,178140,много надежд на будущее.
178840,181140,Разочарование может быть слишком сильным в итоге.
182020,184240,"«Очень мудрые слова, глава»."
184240,185960,Этот тон мне тоже не понравился.
186600,188980,Если в прошлом замечании я услышал насмешку над
188980,192600,"своим возрастом, то сейчас пустую лесть, которой я"
192600,193240,не заслуживал.
193980,195800,Поэтому лишь скребел губы и заметил.
196320,197320,Наверняка они мои.
198120,199760,"Может, что-то Седой говорил мне такое."
200220,201660,"Может быть, учителя в Академии."
202240,204840,"Может быть, один мудрый старейший, которого я как"
204840,205840,-то встретил на пути.
206700,207660,"К чему я веду, Алкай?"
208240,210880,"Уверен, в вашем прошлом тоже были такие надежды."
211260,213000,"Например, когда вы пришли в Клан Кунг."
213420,214660,Но чем они обернулись?
215420,217200,Люди тоже не могут быть все время в
217200,218120,"отчаянии, глава."
218880,222100,"Я лишь надеюсь, что вы, старшие, притушите слишком"
222100,223020,большие надежды.
223020,225340,Я бы хотел двигаться постепенно.
226000,228400,"Первая задача — разбить лагерь, где мы сможем"
228400,229680,оставить всех наших людей.
230380,232980,"Те три места, что предложили Искатели Орд…"
232980,234060,Алкай сбился.
234480,235240,Тут же и справился.
235880,236320,Семьи.
236860,238080,"Вам не нравится, глава?"
238840,239580,Да нет же.
240180,242240,"Мне не нравится, что вы всё больше думаете"
242240,244880,"не об этом лагере и каменных лабиринтах, а"
244880,247060,"о пятой, а той шестой звезде нашей фракции."
247860,251220,"«Каменный лабиринт, молодой глава», — поправил меня подошедший"
251220,251580,Седой.
252140,255339,«Искатели Морлан считают его одним целым и общим».
256019,259060,"«Так какая разница, лабиринт или лабиринты?» —"
259060,259860,устал и спросил я.
260079,263120,«Почему они всё время меняют тему?» «Ты
263120,265760,"слишком строг к нам, молодой глава», — качал"
265760,266400,головой Седой.
266980,270560,"«Твои опасения понятны, но радость схлынет, и всё"
270560,271940,"будет так, как ты и хочешь»."
272680,274920,"Незаметно, что бы за эти дни она схлынула."
275640,278560,"«Сейчас, вне стен, на поле битвы всё изменится."
279000,279700,Подожди немного».
280660,281900,"Конечно, я подожду, Седой."
282300,283160,Куда же я денусь?
283700,286180,"В тишине мы втроём следили, как семья сломанного"
286180,288060,клинка покидает город Пяти Ветров.
288840,291940,"Сто мечей, без малого полторы сотни бывших орденцев,"
292500,294840,больше четырёх сотен откликнувшихся на мой призыв.
295600,296380,Было даже больше.
296880,298800,"Но когда стало ясно, что пора выходить на"
298800,301040,"поле битвы, и не просто выходить, а идти"
301040,304580,"туда всем, даже мастерам, воинам и закалкам, немало"
304580,305960,идущих тихо улизнули.
306780,308540,"Улизнули, впрочем, слишком сильное слово."
309020,309640,Просто ушли.
310080,310800,Средь бела дня.
311300,313260,И их никто и не думал останавливать.
313900,316820,"Они были никем для семьи, и даже оставшиеся"
316820,318400,всё ещё являются никем для неё.
319320,321540,"На самом деле, семья сломанного клинка — это"
321540,322720,пока только орденцы.
323280,324920,"Но вот, к примеру, те же оборванцы с"
324920,326720,улиц остались почти в полном числе.
327280,328780,"И я даже не знаю, то ли они"
328780,332000,"настолько бесстрашны, то ли настолько мечтательны, то ли"
332000,333280,настолько отчаявшиеся.
333880,335840,"Жаль, конечно, у ордена…"
335840,337140,Я невольно покачал головой.
337600,339960,"Сам попался на том, в чём одёргиваю остальных,"
340380,342160,на неверном именовании нашей семьи.
342700,344060,"Ладно, ещё раз."
344440,346240,Правильно называю всё даже в мыслях.
346860,348980,"Жаль, конечно, у моей семьи не нашлось таких"
348980,351700,"больших летающих мечей, какие я видел в городе"
351700,352480,Яну-Союзов.
352860,355260,"Просто потому, что пришедшие в мою семью бывшие"
355260,356720,орденцы были слишком сильны.
357260,359780,У них не возникало необходимости вывозить на поле
359780,360860,битвы десятки мастеров.
361380,362700,Пришлось тратиться и на это.
363960,365080,Вот опять…
365080,367060,"И вроде как всё верно, и никто не"
367060,370300,"придерётся к коминованию бывшие орденцы, но только если"
370300,371420,не захочет придираться.
372000,374060,"Мне ли не понимать, что может найтись тот,"
374160,377220,кто не упустит возможность вцепиться в неосторожно прозвучавшее
377220,377540,слово?
378460,381020,Я невольно оглядел небо в поисках точек властелинов
381020,382600,"или, не дай неба, повелителей."
383360,385260,Хотя я уходил из пяти ветров за неделю
385260,388620,"до истечения назначенного вортулом срока, так быстро, как"
388620,389180,только сумел.
389700,392440,"Даже Озман не мог гарантировать мне, что тот"
392440,395700,"уже не отправил сообщение Эрзум, Кунг или Велор."
396320,398940,"Таким он не делился даже с сыновьями, даже"
398940,401940,"с любимыми сыновьями, которым сулил своё место."
402560,405040,"Впрочем, самый любимый сын, в которого он вложил"
405040,407900,"всё, что мог, сейчас скаляка после диких земель,"
408140,410160,и не может даже пользоваться мысляречью.
410740,412620,И уж тем более не мог ничего обещать
412620,415140,"мне с теми слухами, что расходились от города"
415140,418180,"пяти ветров, подобно кругам отброшенного в воду камня."
418840,422180,"Слишком уж наследили орденцы, такой толпой, заявившиеся к"
422180,424580,никому неизвестному Иралу прямиком от Кунга.
425320,428400,"Глупо, конечно, оглядывать небо, являясь всего лишь предводителем."
428980,432760,"Властелины семьи раскинули своё восприятие настолько далеко, насколько"
432760,434120,смогли и молчат.
434820,438500,"Молчит Седой, молчит Рагидон, который как раз отвечает"
438500,441100,"за стражу и охрану, и чьи люди улетели"
441100,444200,"на самую границу его восприятия, стали его глазами,"
444300,446560,которыми он заглянул за границы своей силой.
447300,449040,"Никто не летит сюда, чтобы стереть с лица"
449040,450300,земли остатки ордена.
450940,453860,"Молчат нефриты голоса, которые связаны с такими же"
453860,455880,артефактами Красноволосого и Озмона.
456620,459160,"Если это и случится, то не здесь, не"
459160,461300,"рядом с городом пяти ветров, и не сейчас."
462060,465100,Глава прервал мои мысли о самом плохом как
465100,465980,раз-таки Рагидон.
466440,469040,«Почему вы продолжаете именовать Оран весь и дым
469040,472340,"?» Младшие спрашивают меня, «Не обижены ли вы"
472340,475100,на него и беспокоятся о будущем Элдура в
475100,478580,"семье?» Я отвёл взгляд от горизонта, переспросил."
479040,480440,«Беспокоятся о будущем?
480920,481520,О его месте?
482380,485540,"О его жизни, если уж быть откровенным, глава."
485920,488340,Он поставил вас на колени и главу.
489020,490480,Этим недовольны даже младшие.
491080,494120,"Трудно представить, насколько недовольны этим вы сами»."
494120,496260,«Ха!» — воскликнул Седой.
496700,498780,"— «Тоже заметила, что наш молодой глава ещё"
498780,499860,тот мстительный тип.
500640,502840,"Я едва удержался от того, чтобы не закатить"
502840,503180,глаза.
503800,506260,"Спасибо за поддержку, Седой, и за помощь в"
506260,507720,уничтожении глупых слухов.
508320,512840,"Властелины — огромное могущество, огромные возможности, семь десятков"
512840,516020,"лет жизни за спиной, а ничто простое, буквально"
516020,517460,закалкивая им не чуждо.
518059,521240,"Рагидон, который следил восприятием за пространством в десятках"
521240,524380,"ли, просто и незатейливо покосился сначала на Седого,"
524820,525520,а затем на меня.
526260,529200,"Я же с усмешкой сообщил, «Похоже, Седой только"
529200,531340,что ответил на первую часть твоего вопроса.
531820,534240,"Я называю его Седым, а он меня не"
534240,537140,"просто главой, а молодым главой, потому что нас"
537140,538280,слишком много связывает.
538940,542220,Его молец я всё же решил не упоминать».
542220,545920,«Доверие!» — поднял палец вверх Седой и
545920,547020,потыкал им в небо.
547140,549520,— «Это показывает доверие между нами.
550080,552980,"Я всё же лучше описал наши отношения, —"
552980,554100,не согласился я с Седым.
554920,559780,"Насчёт красноволосов же…» — «Пф!» — фыркнул,"
560200,561780,а затем зашёлся в хохоте Седой.
562420,564880,"Я подождал, когда он отсмеётся, продолжил."
565500,567240,"«Да, у него тоже прозвище."
567800,569420,"И с ним, в отличие от Седого, всё"
569420,569980,наоборот.
570540,571760,Мы в тот день не поладили.
572360,574560,"Но, — я надеюсь, ты вобьёшь это в"
574560,577100,"головы тех, кто задаёт тебе эти вопросы, —"
577100,579780,"лишь потому не поладили, что я нарочно выводил"
579780,583000,"его из себя, разыгрывая представление перед местным главой"
583000,583920,фракции Вартолом.
584260,586480,"И это я сам встал на колено, а"
586480,587720,не он меня поставил».
587720,590420,"— «Я понял, глава», — кивнул Рогедон."
590760,593480,"— «Он понял, но не поверил, молодой глава»,"
593480,594940,— снова фыркнул Седой.
595240,598540,— «Даже так?» — «Предводитель середины этапа
598540,601440,"против могучего властелина», — сказал прямо Седой."
601940,604780,"Я поджал губы и промычал, признавая его правоту."
605260,607960,— «Хм…» — «И как ты решишь эту
607960,611160,"проблему, молодой глава?» Седой был какой-то"
611160,611980,слишком весёлый.
612500,614400,"Я бы даже предположил, что в нём плещется"
614400,617220,"вино, но не ощущал и намёка на запах."
617780,619080,Да и он с самого утра у меня
619080,619660,на глазах.
620040,621860,"— «Тренировки», — предложил я."
622180,624740,"— «Тренировки», — нахмурился Рогедон."
625240,628180,— «Мне занять их дополнительными тренировками».
628180,629060,Седой возмутился.
629340,630980,"— «Нет, нет, нет, нет!"
631480,633520,Молодой глава сам их займёт».
633520,635820,"— «Пойду-ка я пущу слух, что молодой"
635820,639060,глава решил проверить подготовку и начнёт с предводителей.
639440,640960,Каждый вечер — схватки».
641920,642900,Рогедон поморщился.
643600,646280,"— «Один из властелинов-соглядатый остался в городе,"
646660,648360,но второй упорно идёт с нами.
648820,650920,И это не считая всех тех предводителей и
650920,653700,"простых мастеров, которые каждый день доносят то, что"
653700,654460,видят».
654460,657280,"— «Значит, сегодня и молодой глава совместит полезное"
657280,657880,с приятным.
658120,659260,И мы с тобой».
659260,662060,"Я прикрыл рот ладонью, просто на всякий случай."
662460,664800,"Просто помня, что мы ещё стоим под стенами"
664800,667560,"пяти ветров, и на нас направлены сотни взглядов."
667960,669900,"Причём, взглядов и властелинов в том числе."
670600,671380,— «Вы уточнили?
671820,674560,"Это не человек нашего старейшины?» — «Да,"
674660,676360,я всё же познакомил их с Озманом в
676360,676880,тот вечер.
677240,679420,И всё же уговорил Озмана остаться в городе.
680020,681840,"Просто потому, что на поле битвы или в"
681840,684920,"лагере с сотнями выбравших семью сломанного клинка, от"
684920,686860,него и его возможностей мало пользы.
687400,689140,Хотя он и сам это прекрасно понимал.
689500,691920,"Понимал, что в родном городе принесёт больше пользы,"
691980,694160,продолжая следить за Мурлан и слухами пояса».
694960,695580,Седой кивнул.
695880,696200,— «Да.
697120,697760,Нет».
697760,698240,— «Жаль.
698600,700880,Это бы решило хотя бы часть наших проблем.
701600,704720,"Впрочем, учитывая, что я опасаюсь визита повелителей стихии,"
705220,707540,один чужой властелин был незначительной помехой.
708240,710080,С трудом удалось удержаться у тухмылки.
710580,713020,"Как я вырос, так и до надежд Озмана"
713020,713500,доросту.
713900,715840,"Не дай неба, конечно»."
715840,719260,"Внимательно проследил, как стражники, семьи и наёмники распределяют"
720000,721600,накупленные летающие мечи.
722100,724740,"Те самые, огромные, которые я когда-то видел"
724740,725420,в городе Ян.
726000,728780,"Если тащить к лабиринту людей пешком, то потратим"
728780,732000,слишком много времени и слишком долго будем уязвимы.
732740,734820,Но за первый день мы пролетели всего ничего.
735440,737300,Я в бытность с закалкой не очень высоких
737300,740480,"звёзд столько преодолевал бегом за четыре тысячи вдохов,"
740960,743220,столько мы пролетели и прошли за половину дня.
743960,745200,"Но я знал, что так и будет."
745720,747900,"Первый день больше отводили на то, чтобы сбить"
747900,751800,"это стадо, будем откровенными, в единое целое, выявить"
751800,755060,"слабые места, показать, как оно дальше будет, отыскать"
755060,758540,"самых пугливых, которых страшит пропасть под мечом, и"
758540,760780,"дать ещё один шанс уйти тем, кто захочет"
760780,761120,уйти.
761780,763580,А потому мы и не собирались сегодня далеко
763580,766240,"отлетать от города, его стены даже были видны"
766240,767240,из нашего лагеря.
767800,770620,"Ну и ещё мои старейшины убедили меня, что"
770620,773680,"самый опасный будет середина пути, а вблизи города"
773680,775500,на нас вряд ли осмелится кто-то напасть.
776000,778880,"Слишком много глаз, слишком близко к порталу и"
778880,779860,имперской пагоде.
780920,783840,"Едва стадо расползлось по кострам, на пламя которых"
783840,787580,"они шли последнюю тысячу вдохов, тренируясь перемещаться большим"
787580,789920,"отрядом по земле, как я достал из кесета"
789920,792900,"меч и взмыл вверх, а там использовал ту"
792900,796080,"технику, что усиливало голос и которую Седой считал"
796080,797820,обязательной для молодого магистра.
798780,799560,«Слушайте меня!
800040,802300,"Я Ирал, глава Сломанного Клинка."
802980,805120,"Слушайте меня все, кто ушел со мной с"
805120,805620,пяти ветров.
806340,808820,"Особенно внимательно слушайте меня те, кто слаб."
809340,811680,Это лишь первый день нашего похода к каменным
811680,812280,лабиринтам.
812880,815480,"Впереди еще много таких переходов, и все они"
815480,817000,будут гораздо длиннее этого.
817720,820200,"Впереди лишения, тренировки и испытания."
820800,823040,Мне они нужны в семье слабаки и неумехи.
823580,826480,С завтрашнего дня ежедневные тренировки для всех станут
826480,829960,"обязательными, потому что в семье Сломанного Клинка постоять"
829960,831960,за себя должны даже алхимики.
832600,835000,Потому что в семье Сломанного Клинка все должны
835000,836340,идти по дороге возвышения.
836840,840020,"Поэтому подумайте и решите, не стоит ли повернуть"
840020,843080,"обратно, не стоит ли отказаться от столь строгой"
843080,843420,семьи.
844100,845860,Это последний ваш шанс вернуться.
846560,849560,Сегодня ночью глядите на огни города Пяти Ветров
849560,850180,и думайте.
850840,853780,"Всех, кто решит, что он переоценил себя, Стражники"
853780,856300,Семьи утром проводят обратно к городу в полной
856300,856980,безопасности.
857420,860700,"Потом, из глубин внешнего поля битвы, никто вас"
860700,861520,провожать не будет.
862200,863380,Сказал и поморщился.
864160,865620,Слово «внешнее» было лишним.
866120,868740,Здесь почти никто не именовал поля битвы полностью.
869500,874260,"Орденцы, бывшие орденцы, как справедливо заметил Пересмешник, выдают"
874260,877320,"себя, называя нашу семью семьей Сломанного Клинка."
878000,881120,"Я вот, как бывший житель тюремных поясов, упорно"
881120,884820,"именую здешние, единственные у местных поля битв, внешними."
885420,887940,"Хуже было бы только именуя их великими, как"
887940,888860,делают сектанты.
889740,893000,"Медленно по спирали спустился вниз, намереваясь перейти к"
893000,893520,тренировке.
894100,896780,"Первый, и пока что лишь с бывшими орденцами."
897400,899840,"Но меня перехватил Седой, ожидавший меня в конце"
899840,901940,спирали вместе с еще одним идущим.
902440,905040,"Тоже Седым, только на этот раз по-настоящему."
905600,908140,"Вернее, Седым едва ли не настолько же, насколько"
908140,909700,сам Седой был раньше Седым.
910180,912940,«Молодой глава!» — вежливо приветствовал меня сам
912940,914740,"Седой, распята за сегодня."
915320,917820,Затем плавным жестом указал на своего собрата.
918240,920860,«Позволь представить тебе моего друга Келлера.
921380,922900,Я как-то говорил тебе о нем.
923520,924020,Точно.
924560,925500,Я едва не кивнул.
926060,929540,Именно ему Седой хотел прикупить зелье восстановления сожженной
929540,929920,жизни.
930560,932660,За этого друга я сперва принял мошеннистого.
933620,936120,"Поднял перед собой руки, прикладывая кулак к ладони."
936680,938120,"«Рад приветствовать тебя, Келлер."
938560,940980,"Использовал ли ты зелье, которое купил для тебя"
940980,944140,"Седой?» «Я тоже рад лично приветствовать вас,"
944240,946480,глава!» — согнулся передо мной Келлер.
947100,949320,"«Да, еще две недели назад."
949840,950720,Седой поморщился.
951240,955500,"Он сжег жизнь очень давно, и возвращение потерянного"
955500,956280,идет с трудом.
956920,960480,"Молодой глава!» Пусть Седой и замолчал, но"
960480,962220,недосказанное было понятно и так.
962800,965360,"В конце концов, мы об этом договаривались изначально"
965360,967260,— помочь Комптурам Ордена.
967960,970420,"Удивительно, что за эти дни это первый мой"
970420,971880,пациент из бывших Орденцев.
972560,975720,"Правда, Келлер не Комптур, потому как всех оставшихся"
975720,976960,со мной Комптуров я знаю.
977640,979480,Половина из них теперь старейшины семьи.
980100,981980,Но и у Седого есть преимущество.
982580,984460,Никто не затевал еще со мной разговор о
984460,986840,"лечении, возможно, оставив это на Седого."
987540,988380,Он вот выбрал.
988880,990240,Причем выбрал обоснованно.
990740,994180,"Раз зелье древних справляется тяжело, нужно ему помочь,"
994560,996360,чтобы оно не расходовалось напрасно.
997060,999660,"Я изумился, поймав себя на столь большой наглости."
1000220,1002400,"Помочь там, где не справляются зелья древних."
1003140,1005560,"То ли расту над собой, признавая свой талант,"
1005960,1007560,то ли зазнался уже почти в край.
1008360,1010080,"Сегодня и проверю, как оно на самом деле."
1010720,1012260,"Поговори с остальными, и начнем."
1013040,1013920,Поговорить о чем?
1014560,1016160,А вот Седой не понял мой намек.
1016820,1019060,"О том, что мне нужно больше свободного времени,"
1019520,1021520,и чтобы они решали свои проблемы сами.
1022220,1024900,"Уверен, стоит тебе только отойти, тут же со"
1024900,1027420,"мной заведут разговор о делах, либо о былом."
1028800,1029440,Ээээээээээээээээээээээээээ.
1029440,1030260,Замялся Седой.
1030920,1031780,Молодой глава.
1032319,1034740,На самом деле они так пытаются передать вам
1034740,1035380,свой опыт.
1036119,1038680,"Я понимаю, все же не совсем дурак, но"
1038680,1040800,"это можно делать и так, как делал ты."
1041400,1042140,Просто учить.
1042599,1045960,"Назначить несколько учителей и просто учить, пользуясь преимуществом"
1045960,1048580,"ускоренного времени, а не вот так впустую тратить"
1048580,1049380,время на болтовню.
1050200,1051500,"Я понял, молодой глава."
1051500,1052380,«Я понял.
1052900,1054820,"На самом деле, мы все боялись, что ты"
1054820,1057600,"оскорбишься, если мы будем действовать столь прямо."
1058260,1058860,Даже ты?
1059480,1061700,Даже я!» Я ухмыльнулся.
1062740,1063440,«Зря».
1063440,1065200,Седой ответил мне такой же ухмылкой.
1065400,1066500,«Уже понял.
1067460,1069680,Сейчас я хочу провести тренировку со…
1069680,1071000,со стражей семьи.
1071600,1073580,Затем у меня зеленоруки и…
1073580,1074060,Дарая.
1074700,1077400,"Логар мне неприятен, и я предпочту отодвинуть его"
1077400,1077780,лечение.
1077780,1080700,Если уже сегодня не будет этих вроде как
1080700,1083680,"уроков, то после полуночи я освобожусь и жду"
1083680,1084740,"тебя, Келлер»."
1084740,1087220,"«Спасибо, молодой глава»."
1087220,1090120,"Я улыбнулся Седому и шагнул прочь, туда, где"
1090120,1092220,уже расчищали место для тренировки.
1092800,1094440,Но Седой мягко остановил меня.
1095080,1097080,"«Молодой глава, еще одно."
1097780,1100060,Келлер — наш лучший артефактор.
1100620,1103380,Пришло время тебе отдать ему поврежденные вещи.
1104000,1106100,Я с новым интересом оглядел Келлера».
1106800,1108140,«Властелин — это понятно.
1108720,1111020,"Слабее Седого, что тоже объяснимо."
1111660,1114500,"Один получил от меня столько лечения, что сейчас,"
1114680,1116360,"наверное, сильнее себя молодого."
1116860,1119500,А второй страдает от застарелого сжигания жизни и
1119500,1121620,"прочих ран, которых не может не быть."
1122220,1124060,И вот с этим «не может не быть»
1124060,1125020,я и удивлен.
1125820,1127720,"Нет, я сам только что громко вещал с"
1127720,1130380,"небес, что в моей семье уметь сражаться должны"
1130380,1130720,все.
1131240,1133900,"Но уметь, а не сражаться в обязательном порядке."
1133900,1137720,"Как так вышло, что лучший артефактор Ордена сжигал"
1137720,1138060,жизнь?
1138800,1141520,"Похоже, меня сегодня ждет не только поднадоевшее лечение,"
1142040,1143680,но и ночь интересных рассказов.
1144340,1146920,Первым я вбил в землю летающий меч Старшего
1146920,1150340,"Тезиора, чья рукоять теперь возвышалась над моей головой."
1150820,1153360,"«Это памятная вещь, которую я получил в подарок"
1153360,1156220,"от одного Старшего», — честно сообщил Келлеру."
1156380,1158880,"«Кажется, работа сектантского артефактора."
1159520,1162020,Быстрее и удобнее этого меча я не встречал.
1162020,1165140,Он пострадал от удара нескольких сутей стихии в
1165140,1168080,"исполнении Властелинов Духа, правда, невысоких звезд."
1168280,1171760,"«И умения тоже невеликого», — добавил Седой."
1172220,1175100,«Я бы хотел полностью восстановить возможности меча».
1175540,1176880,"«Разумеется, голова."
1177200,1180320,Как иначе?» Келлер опустил ладонь на широкое
1180320,1183400,лезвие и ловким движением спрятал в кесет эту
1183400,1184320,здоровую махину.
1185120,1189680,"Да, лучшего артефактора Ордена, Властелина Духа, был лишь"
1189680,1190140,кесет.
1190140,1193760,"Бывший Орден Небесного Меча был силен, но беден."
1194280,1197800,"Немалое богатство составляли одни только флаги формаций, которые"
1197800,1199320,они сохранили с прежних времен.
1199820,1202420,Но даже спустя 50 лет они не смели
1202420,1203100,их продавать.
1203780,1205020,Продавали только новоделы.
1205640,1207640,Я в который раз напомнил себе поговорить о
1207640,1210420,"тех неизвестных мне старших, которые не участвовали в"
1210420,1213580,битве и которые остались живы после уничтожения Ордена.
1214240,1216840,"По уму, это были как раз ремесленники Ордена."
1216840,1220280,"Артефакторы, алхимики, кузнецы, лекари и прочее."
1220760,1221620,Что с ними стало?
1222080,1224840,"Почему молодежь Ордена выросла без них, и без"
1224840,1226260,них же служила клану Кунг?
1226740,1228840,Это тоже памятная мне вещь.
1229300,1231220,Следующий я протянул Келлеру маску.
1231800,1233960,Я купил ее на одном мелком аукционе.
1234600,1237120,"Это тоже работа сект, и она тоже пострадала"
1237120,1237940,от того же удара.
1238880,1239840,Да уж.
1240520,1243800,"Келлер принял ее, покрутил перед глазами, разглядывая дыры"
1243800,1244480,и опалины.
1244480,1247640,"«Если не получится восстановить свойства, то я бы"
1247640,1249900,предпочел сохранить хотя бы ее внешний вид».
1249900,1252580,«В смысле?» — нахмурился Келлер.
1252920,1255400,"«В том смысле, что не нужно перекраивать ее"
1255400,1257540,или заставлять рассыпаться прахом.
1258020,1260540,"Нельзя починить, значит, я верну ее на стену"
1260540,1261700,памятных вещей».
1261700,1263580,"«Глава, ну конечно!"
1264040,1266760,Я не посмею уничтожить ее!» — возмутился
1266760,1267100,Келлер.
1267320,1269380,«Вы можете не беспокоиться об этом.
1270080,1271640,И вот эту штуку погляди».
1271640,1274740,"Седой скривился, привидя доспеха, который я достал."
1275200,1277580,"Тот самый, который я получил от Нулара Ян"
1277580,1280600,"для выхода к поместью, куда сейчас должен везти"
1280600,1282060,своих людей красноволосый.
1282800,1285160,Седой же не ограничился гримасой и заявил.
1285420,1287480,«Это убожество нужно менять».
1288180,1289740,«Зачем?» — удивился я.
1290220,1291040,«Неплохой доспех.
1291400,1292160,Я к нему привык».
1292800,1296040,"«За тем, что молодому главе сломанного клинка неуместно"
1296040,1299000,"ходить в таком старье?» Келлер, пряча усмешку,"
1299080,1299620,спросил у меня.
1299620,1303080,«Он тоже пострадал от того удара?» «Нет.
1303400,1304440,С ним что-то странное.
1305060,1307340,"Когда я привязывал его к себе, то он"
1307340,1309940,посчитал меня властелином и зажег круг оценки.
1310540,1313400,"Келлер быстро мазнул взглядом по мне, Седому и"
1313400,1313760,кивнул.
1314220,1315360,"«Понял, глава."
1315980,1318640,"И она слышен о таранви, что вы можете"
1318640,1321160,использовать некоторые техники без обращений.
1321680,1325580,"Но подобные доспехи должны оценивать средоточие, а у"
1325580,1328880,"вас третьего еще нет, верно?» «В этом"
1328880,1331140,"и странность», — не стал я использовать мысли"
1331140,1331400,речь.
1331640,1335800,"«Я проверю доспех, сброшу привязку, и вы попробуете"
1335800,1336400,еще раз».
1337360,1338000,«Отлично».
1338000,1340420,"Глянув за их спины туда, где другие старейшины"
1340420,1343800,"уже начали нетерпеливо обжигать меня взглядами, напомнил Седому."
1344460,1345200,«Поговори с ними.
1345660,1348260,"Скажи их глава, пусть и собиратель камней и"
1348260,1350400,"дерьма, но умный, сам хочет учиться»."
1351380,1354160,«Собирателя чего?» — выпучил глаза Келлер.
1354900,1357560,"«Ой!» — скривившись, махнул рукой Седой."
1358300,1360540,«Любимая шутка нашего молодого главы.
1361320,1364100,"Ему нравится вот так заявить в глаза собеседнику,"
1364500,1367000,"и глядеть, как тот судорожно ищет, что же"
1367000,1367680,сказать в ответ».
1368620,1371160,"«На самом деле отличная штука», — не согласился"
1371160,1372860,"я, да еще и подначил."
1373420,1375820,"«А главное, любой, кто различает ложь, поймет, что"
1375820,1376800,я говорю чистую правду».
1377560,1379780,Глаза Келлера распахнулись еще сильней.
1380560,1381580,«Ну да».
1381580,1384160,"Я показал им всем жетон, рассказал, что пришел"
1384160,1387180,"из второго пояса из отделения Ордена Небесного Меча,"
1387700,1389260,"а вот о том, что родился в нулевом,"
1389680,1391060,рассказать в руки так и не дошли.
1391700,1394260,"Это нужно было исправить, в один из дней"
1394260,1397080,"нашего перехода, или в один из дней похода"
1397080,1397620,к ключу.
1398080,1398900,Время еще есть.
1399480,1402980,"Пусть горели костры, артефакты тепла и прочее, готовые"
1402980,1405600,"принять после себя свою часть моей семьи, ее"
1405600,1408560,"наемников, стражей, учеников и прочих, почти все они"
